# d0	d1	e0\e1	f0	f1	g0	g1
2.153496365109265120e+00 7.243665592728279479e-02 1.535459225148164686e-01 4.161218396880704828e-01 1.335825247113178460e-01 1.249826941698116256e+00 1.069073103650482054e-01
2.239780664040305957e+00 -1.342852213053207511e-01 4.705969039776436436e-01 4.202439061256624253e-01 6.457295167180808482e-02 1.283425683019401076e+00 1.800292540628681270e-01
2.167624528512294813e+00 7.397413880174396050e-01 -1.616071920873096979e-01 4.057028602616480906e-01 2.616706831204205774e-01 1.238026526264544680e+00 1.683855550294420800e-01
2.355657288888647116e+00 1.862886779782305657e-01 1.081739002999762035e-02 3.968559183097767895e-01 1.957701145398090814e-01 1.280711931502248824e+00 9.499973031933935108e-02
2.130246542161821299e+00 -1.667693032730533653e-01 6.719419169178398876e-01 4.143955032742530631e-01 1.109431248083715162e-02 1.234691161704948970e+00 1.489995898888291925e-01
2.244822793666654270e+00 -1.760652612127962258e-02 4.221487128199070682e-01 4.169393652088695945e-01 7.643828873223323939e-02 1.280347747350201404e+00 2.279989486916002839e-01
2.077743288662180277e+00 1.501542992732231852e-01 1.653924334810479291e-01 4.140345170741977499e-01 1.319865412417564332e-01 1.227106749561629462e+00 1.164447557097948033e-01
1.861766336766846441e+00 -2.379335622827985219e-01 4.377552379587179576e-01 3.968983570999406463e-01 5.596635635273904119e-02 1.187174736912737005e+00 1.930301373515538096e-03
2.150223147005951851e+00 2.038354996640012740e-01 8.014683819867654546e-02 4.060399952342834129e-01 1.602495277210220781e-01 1.253190340273342196e+00 1.294572507881685541e-01
2.105636057541527162e+00 2.754749840597653932e-01 -1.592705365822605634e-01 3.890517263420920080e-01 2.201298047918220646e-01 1.228267302987673615e+00 4.354085612016057871e-02
1.995177552391869114e+00 3.395851692648243492e-01 8.089411674701103838e-02 3.929306312596732575e-01 1.571714329524541709e-01 1.221415048597171538e+00 1.284466125087413979e-01
2.169857539315290573e+00 1.327590116282764410e-01 2.755803781588728185e-01 4.169433071493529597e-01 1.257774379544688292e-01 1.250415164706551119e+00 1.571412146462199400e-01
