# d0	d1	e0\e1	f0	f1	g0	g1
2.146023627167780390e+00 -2.262619139410317406e-02 2.224790183980939473e-01 4.159544646986977900e-01 1.136236197928455621e-01 1.247767029503973335e+00 9.637465493101672609e-02
2.239579358209324855e+00 -9.781030662332762526e-02 4.537442395127595507e-01 4.202688930402586620e-01 7.062571733735180379e-02 1.283372699580632714e+00 1.846325655441632685e-01
2.166198422609626473e+00 6.396859455673050698e-01 -1.269206295559057729e-01 4.058352275286434274e-01 2.468891663367919487e-01 1.237906190245892546e+00 1.515093073680527092e-01
2.359705150760535997e+00 3.224931442579443974e-01 -2.030017939595003471e-02 3.964762194826970121e-01 2.163513402803857455e-01 1.280995566319209633e+00 1.185874912615265675e-01
2.132842540082494853e+00 -1.284642878465622751e-01 6.320813657837440758e-01 4.144834643774972238e-01 2.204661791329814990e-02 1.235609609387572361e+00 1.508842130123300151e-01
2.247072692113999626e+00 5.672496579616818045e-03 4.146219684302846487e-01 4.170799599057039009e-01 7.982383898514369691e-02 1.280951343667054543e+00 2.319473391351507818e-01
2.057696688966482057e+00 -5.534432235837372788e-02 3.952664731675992194e-01 4.135680724905679284e-01 7.239597943016774784e-02 1.221792219819918701e+00 1.053144761695374576e-01
1.858957000347943644e+00 -1.759621756359362466e-01 3.718726481543792595e-01 3.970523676615115849e-01 7.021961505598964259e-02 1.187166673671195216e+00 4.297521112750818557e-03
2.153022943788945653e+00 1.655051128028252050e-01 1.063662702389445019e-01 4.061924166125635560e-01 1.534529308025627536e-01 1.253543765367295171e+00 1.259008905267930689e-01
2.109520956865502228e+00 2.148366466767768213e-01 -1.143905577625607961e-01 3.889184967262373505e-01 2.089777666458877414e-01 1.228724144426519116e+00 3.845718560061226615e-02
1.976018289665681493e+00 -6.417907190224036995e-02 3.833517600510093493e-01 3.923984345711475918e-01 7.862314259607031119e-02 1.215748488942501870e+00 8.602761871957970152e-02
2.180861182598130998e+00 5.036989586115865336e-01 1.365780098132853004e-01 4.172221924424391881e-01 1.838178663165048188e-01 1.252873288542122543e+00 2.177673478986039413e-01
