# d0	d1	e0\e1	f0	f1	g0	g1
1.444360720236827645e-03 3.375511221458656064e-02 1.397278316159920528e-02 2.226319470545751245e-06 1.273887562603934816e-03 7.063504480382300904e-05 7.475641138071427872e-04
1.195857575940051983e-03 2.420314117824707428e-02 1.072342395884524381e-02 2.835717274383474680e-06 9.391787914287036453e-04 7.611379509943942093e-05 6.347048040134527528e-04
1.786672775646034814e-03 7.369648365201611484e-02 1.166412509601991165e-02 2.782116026486098567e-06 1.874417751929093826e-03 7.315440980804295351e-05 2.234035458332404682e-03
2.397433329462385788e-03 1.004354286065159418e-01 1.698324443897606881e-02 3.072304527506544561e-06 3.081742931175988041e-03 9.114798826146364391e-05 2.406769214223036888e-03
1.758647464088965075e-03 1.297621527039075594e-02 1.793938170107486213e-02 2.614705262897951443e-06 1.069237289333878045e-03 8.525561940089272780e-05 3.442799104735453134e-04
1.462208054158996295e-03 2.029442219654959551e-02 7.703671242219942497e-03 3.076550614376953068e-06 6.927106008687450864e-04 9.364059507192351800e-05 6.620700641859717048e-04
2.239578900117292649e-03 3.636184782268285509e-02 3.263378015626967193e-02 2.426192429384144389e-06 2.296142285240360126e-03 9.421415620586877230e-05 6.335904461085674691e-04
1.706398422867569549e-03 2.390658019941675760e-02 2.615691475591262402e-02 1.969301279862289300e-06 1.109813540648686920e-03 7.093575918467962405e-05 5.310179289037421759e-04
1.473289181082308892e-03 6.097399339256367318e-02 1.103820758353417364e-02 2.793631911067201535e-06 1.299318770514022205e-03 8.196762222237694462e-05 1.852717435842263140e-03
1.938970372727289067e-03 1.012305684375433140e-01 2.137138087928888361e-02 2.775798612856537724e-06 2.360223186336948744e-03 7.964112673710071859e-05 2.243158729183758818e-03
1.518932862055925089e-03 3.357726008286816138e-02 2.539141728857671407e-02 2.326157372100717526e-06 1.436689323466391801e-03 8.246125134683902143e-05 6.116278968891195088e-04
1.482946743761258054e-03 1.415780449306525690e-01 3.526079106469731661e-02 2.415615873710529021e-06 4.432561754443925528e-03 8.059047758594797448e-05 3.288200531476793802e-03
1.605767386929719516e-03 2.771664962374706040e-02 1.932522100745184476e-02 2.418902216955510160e-06 1.294229972438945596e-03 7.978337255606141834e-05 5.637834916094495389e-04
1.518439199289882023e-03 5.144918373578769716e-02 1.806407405186533088e-02 2.638564878451921191e-06 1.677313811752727691e-03 8.599834428431024755e-05 1.197685418642283148e-03
1.262335866884885987e-03 5.046867377561569529e-02 1.006632117017397000e-02 2.977452929151347113e-06 1.231794558017839649e-03 8.574209170803437537e-05 1.589461566860124507e-03
1.534518171814129670e-03 1.641810955196371102e-02 1.190254630557800904e-02 2.528942362706830973e-06 6.431481701797768080e-04 8.206916636553627273e-05 5.498717589695686784e-04
1.553107566326315456e-03 2.420492973491489286e-02 1.948163919316981546e-02 2.050038661789905041e-06 1.085034267365080941e-03 7.122589488917310959e-05 5.627441635550078664e-04
1.485503453178438132e-03 2.399653692104725122e-02 1.136554553353922789e-02 3.125178272684284581e-06 8.750499331229469975e-04 8.304700684382960009e-05 6.539910917995980138e-04
2.381089050366821253e-03 5.934110228877341464e-02 5.585070864539411900e-02 2.576783561959323281e-06 2.880283748339282877e-03 8.947961275961280022e-05 8.481391568950967736e-04
1.747363092997607486e-03 2.274582159270756646e-02 2.510291814274453678e-02 2.567546397341367028e-06 1.291371419025111843e-03 8.413679845756569893e-05 4.800186190452908558e-04
1.371496448319389251e-03 2.773795534377377150e-02 1.198639321441682948e-02 2.680186301753298106e-06 1.042462989046382196e-03 7.683904141712018178e-05 6.744109520295825172e-04
1.518278426791330434e-03 7.735814264445843580e-02 2.119081346757632420e-02 2.585971043652383491e-06 2.338928090222854896e-03 7.458211077986070636e-05 1.601845812304852684e-03
1.363380284546072225e-03 4.608857814496698790e-02 3.806932494906481966e-03 3.580162583755162428e-06 8.655201185922760214e-04 8.401429800773644739e-05 1.810834901973261152e-03
4.411037758828557746e-03 1.008911557232273493e-01 5.722521218232051732e-02 1.083877979914527333e-05 4.096611763707122718e-03 1.208099310839301044e-04 1.386172615106705556e-03
2.431355852844248409e-03 2.729573619651672334e-01 9.766166877136418789e-02 3.216704201055393775e-06 9.353060877170828874e-03 1.015610821096780102e-04 4.457749224671427729e-03
