# d0	d1	e0	e1	g0	g1
2.679619734286337707e+00 -4.835257828123447066e-01 8.875461250625673593e-01 4.477365253310354731e-01 1.295347377508415221e+00 1.311293119972739563e-01
2.869030296962237880e+00 -4.768856387158890153e-01 9.269833455468230454e-01 5.250020476868769714e-01 1.360599300821570878e+00 2.471100593602057749e-01
2.697763919774557539e+00 -5.423802274720569416e-01 8.648034836916317358e-01 4.365901131829897364e-01 1.278457085625333001e+00 8.625284132636756862e-02
2.947829833695499779e+00 -6.532435677029376775e-01 8.756093202266650444e-01 4.110783173190314388e-01 1.328653374869681825e+00 8.722435095209651879e-02
2.683111393070605644e+00 -2.907515253859297433e-01 8.873445794431906730e-01 5.251904332551287080e-01 1.289512955148178985e+00 2.005498498541552488e-01
2.922557982314120562e+00 -3.864732260673203190e-01 9.260647823795511435e-01 5.332002587406275973e-01 1.366769925420281417e+00 3.143018644313665955e-01
2.563176382876462434e+00 -3.455375780647880202e-01 8.658840241579470742e-01 4.787584312597040204e-01 1.262597417378232167e+00 1.447781200268696278e-01
2.585632181428398457e+00 -5.740785782565591688e-01 8.148989926677248086e-01 4.026956164517102588e-01 1.250447826083151082e+00 4.467190775942359721e-02
2.894671872987118810e+00 -6.641223667490033788e-01 8.933738965786326425e-01 4.291771195800168082e-01 1.337417377783002959e+00 1.392661525661459676e-01
2.838082109994894964e+00 -8.548469893805744624e-01 8.378526904754353133e-01 3.459425558799197331e-01 1.291323670516775435e+00 3.258184932519313411e-03
2.826725190942636079e+00 -4.799010678584276768e-01 8.464640377203592747e-01 4.689284186712835978e-01 1.306622063903979836e+00 1.674248075818365045e-01
2.728167166568630453e+00 -4.366549996465587946e-01 8.962821548409866113e-01 5.397308077619578093e-01 1.302716284232112942e+00 1.973266263311997670e-01
2.703244978252128394e+00 -4.270061767354009219e-01 8.695626145841744981e-01 4.887005809378217602e-01 1.285061783021279380e+00 1.707851183106418036e-01
2.800440825882228868e+00 -5.222431763853120357e-01 8.953262538454208608e-01 4.983489235024288755e-01 1.321121496713082877e+00 1.996518863844558289e-01
2.750257251898502453e+00 -4.137312679872918730e-01 9.260378358504262053e-01 5.226380093474539690e-01 1.338012640551117682e+00 2.631279016193534548e-01
2.823640326048624694e+00 -4.476236139101424927e-01 8.636471189622022537e-01 4.670537356334041879e-01 1.309053490310711609e+00 1.797608841923845069e-01
2.700815577785657950e+00 -4.471376446667909010e-01 8.296567807368397940e-01 4.460180096165642927e-01 1.276357251592976416e+00 1.280258795180050369e-01
2.880826497114370888e+00 -4.659868639355342346e-01 8.959295423733847352e-01 5.022170420837270832e-01 1.340504216766469137e+00 2.270504096491911261e-01
2.726266928436166914e+00 -6.448549813538397846e-01 7.903103794281421957e-01 3.936358166447960216e-01 1.256536852389527503e+00 3.213552143862537930e-02
2.745511718382859900e+00 -4.525401524089682770e-01 8.419772841578818667e-01 4.878916076046769246e-01 1.286534933630888666e+00 1.479421474480477339e-01
2.867611947568675657e+00 -4.758441953645420885e-01 9.010438219802687776e-01 4.903352012397421134e-01 1.337193718865856029e+00 2.027671463659063977e-01
2.900184534819894910e+00 -8.100433080710753853e-01 8.779232246412245200e-01 4.149039964523576485e-01 1.327920201227057895e+00 6.620482011700594416e-02
2.856618749438636140e+00 -4.875122302453481771e-01 9.350930305329088199e-01 5.276287581348928502e-01 1.352859645977381398e+00 2.626122117237364995e-01
2.653271703953022254e+00 -9.599450511850743384e-01 8.164174385428512037e-01 2.848160796855830346e-01 1.241800181091082367e+00 -9.575577570561759344e-02
2.806264073491138600e+00 -6.096542055740316046e-01 8.401811246702010072e-01 3.941531297128821887e-01 1.293099109263190272e+00 4.981179030224155979e-02
2.760952119048003528e+00 -4.262006475139736295e-01 8.648350260998897143e-01 4.903486755726547686e-01 1.296015490188675789e+00 1.828456201137873827e-01
