# d0	d1	e0	e1	f0	f1	g0	g1	
# 
2.144406529913204018e+00 7.692727310418726039e-02 1.109294791589438001e+00 1.505516882430270875e-01 4.130103718768350363e-01 1.349674371733500244e-01 1.249513078476932826e+00 1.084384919577697365e-01
2.180019710788914988e+00 1.848690473382853527e-01 1.142244798290835472e+00 2.578583768660648312e-01 4.066342296998727845e-01 1.309554804439041764e-01 1.280350870160327892e+00 2.060409695746354963e-01
2.182666606122913855e+00 6.650568568788527146e-02 1.075779669403800209e+00 1.115119919344619293e-01 4.142644116590736281e-01 1.468564673760892059e-01 1.239016212313244436e+00 6.709775819517352358e-02
2.394430040190392184e+00 -3.708658332672279401e-02 1.072331205690590705e+00 1.204891689717741271e-01 4.069664382361127264e-01 1.516039200419408151e-01 1.283420346659585043e+00 6.721320380226432356e-02
2.132928192164466719e+00 2.537644409871877560e-01 1.124166173593771356e+00 2.348208963289967754e-01 4.079201808922148786e-01 1.294473533467388193e-01 1.242818975665082926e+00 1.692078160718899493e-01
2.161498782115678807e+00 2.047533088147787950e-01 1.150288106663800880e+00 2.782934508544397945e-01 4.008372952229036779e-01 1.213113695830872613e-01 1.272519976511348405e+00 2.422648162814442785e-01
2.081764300297520798e+00 1.616139330576998046e-01 1.098619056946644967e+00 1.570584872833017398e-01 4.142376254657383350e-01 1.345106214777223030e-01 1.227697727193906907e+00 1.175855913297266520e-01
1.900381211788624736e+00 -2.499168645954443491e-01 1.066754557862325203e+00 4.203761219812774397e-01 4.050289796611821758e-01 5.504906545332086815e-02 1.190344252858536844e+00 2.440569355832345865e-03
2.165732606427034135e+00 1.099605304542258660e-01 1.084891414233396745e+00 1.352542068723773250e-01 4.102025189853193976e-01 1.422130092209804575e-01 1.253450686466915931e+00 1.181843907106709668e-01
2.262033802541810967e+00 2.844241146289360270e-02 1.013492146819917838e+00 7.368600835083203649e-04 4.182121030153323482e-01 1.695727082519172257e-01 1.244587966210469299e+00 1.766888460863485708e-02
1.864277225320423170e+00 -1.718802643894886406e-01 1.204147400535731549e+00 5.081044703296025977e-01 3.672964620964089266e-01 6.051016549395424327e-02 1.204833680963834697e+00 6.387978562885768263e-02
2.127688024224561048e+00 2.126124814160953169e-01 1.123633611863440240e+00 2.218433893928805911e-01 4.092345578662217598e-01 1.418152614632542663e-01 1.245574873618809031e+00 1.618617129296633372e-01
1.981079621007507008e+00 -1.616515182322180444e-01 1.176399004322328690e+00 5.106733808320753631e-01 3.867035732039583729e-01 5.700651477510376708e-02 1.215066054973755305e+00 9.746760513310065432e-02
2.121745405478119295e+00 1.522438031016614124e-01 1.112021488409460135e+00 2.091692078238522323e-01 4.078785295865177685e-01 1.358058922184490203e-01 1.248642415496148184e+00 1.621085783826633764e-01
2.063475741342282177e+00 1.629622530213709897e-01 1.162238943866860774e+00 2.391641854624686758e-01 4.071113193587890255e-01 1.237125312810503641e-01 1.256901106970964355e+00 2.018454620199175154e-01
1.582545160350657953e+00 5.291957863687207081e-02 1.697552857263836756e+00 4.553437102278250215e-02 2.986915112995247035e-01 1.319370211644656510e-01 1.173077898443620981e+00 5.451686603474266424e-02
1.969227937423936758e+00 -5.255398697776605260e-02 1.067976522699809250e+00 3.223916144860571875e-01 4.030867867461969123e-01 8.053038774886633888e-02 1.207069345638687174e+00 6.356839627760543787e-02
2.123943578675741684e+00 -5.233068930082843823e-02 1.126999809237926087e+00 3.873236254742831730e-01 3.991075542108618590e-01 8.484119912364063154e-02 1.254477778039163827e+00 1.492648626209025498e-01
2.070769354222238512e+00 1.475923394654425347e-01 9.766662333573923327e-01 8.735140879661142110e-02 4.157795632639832428e-01 1.430947309102854337e-01 1.204446079526025448e+00 2.252953332676776999e-02
1.974218300174619412e+00 -1.063967541188624993e-01 1.093846896879935304e+00 4.885326007748159172e-01 3.972087253659221662e-01 5.616128212304334621e-02 1.209511631228015638e+00 7.713261082213881958e-02
