# d0	d1	e0	e1	f0	f1	g0	g1	
# 
2.144472914535560104e+00 -3.009673452441535835e-02 1.122216870678790723e+00 2.080527314885181889e-01 4.128595402181325924e-01 1.143678925025162635e-01 1.247470176798554320e+00 9.675419679202071355e-02
2.127594144643527141e+00 -8.623573637144353599e-03 1.186046977442408279e+00 3.781326477146125797e-01 3.972127107006915292e-01 9.323140290344132664e-02 1.271200336071840908e+00 1.798118172576053386e-01
2.254456215006107378e+00 6.521436053351377105e-01 1.054314008521900936e+00 -5.627243180979729642e-02 4.239803682430283160e-01 2.320796360494021271e-01 1.246575986165056049e+00 1.604324210008942764e-01
3.048362737300822189e+00 -3.464770618988831652e-01 8.963648312632195303e-01 2.569080517715894851e-01 5.155334893414227349e-01 6.456279047615258448e-02 1.345691315198949578e+00 1.184043182958952334e-01
1.938728724762008415e+00 1.136437467467927703e-01 1.343852361675703877e+00 3.586892285468714081e-01 3.582543968925690492e-01 9.820304228324240603e-02 1.221193329549452589e+00 1.510066628168670322e-01
2.144984708868804990e+00 7.302307981606888376e-02 1.171256788710777874e+00 3.562367103227688236e-01 3.971266598940840220e-01 9.790377556483345622e-02 1.269128439256083984e+00 2.245398550026098672e-01
1.972620887171751436e+00 -1.748860598019256682e-02 1.210753838960438644e+00 3.207702274014741506e-01 3.883110335564464166e-01 9.383132790465771589e-02 1.215258322046692818e+00 9.586930608373392393e-02
1.912300243909350606e+00 -1.870145695512484274e-01 1.095828423043322841e+00 3.547311038458650367e-01 4.037993052879319533e-01 6.858316748924436768e-02 1.191735653985722232e+00 1.062921325718578329e-02
2.484538303355541711e+00 -1.682349187940925805e-01 9.763173112634123685e-01 2.886403213363549214e-01 4.566949829195970367e-01 8.471038768868922875e-02 1.290558371464348042e+00 1.278162315233408453e-01
2.640458216806651937e+00 -2.500664089703960036e-01 8.990149719856318500e-01 1.660726661569565665e-01 4.771799224380229298e-01 9.990235179704728963e-02 1.279014808143070336e+00 3.343937270100860032e-02
1.691723515324023985e+00 1.511884921190394943e-02 1.537543526888693668e+00 1.604011126445876734e-01 3.181967081557968702e-01 1.222066098768788966e-01 1.190031054252616238e+00 6.045136487824964017e-02
2.425610839952719200e+00 6.051937099207475856e-02 1.004992320043247345e+00 3.272290536463078325e-01 4.587694268703152445e-01 9.933794401465745327e-02 1.276034843554976650e+00 2.007459838159458276e-01
1.871513168091301749e+00 -5.928175849691725424e-02 1.372669818950002840e+00 3.666130098373382995e-01 3.511652441418929294e-01 9.476822074679250307e-02 1.207622884127905305e+00 9.357437340609993381e-02
2.061236061473986858e+00 9.435111695017781019e-02 1.181272305857567595e+00 1.997310474207054098e-01 3.936485708450336851e-01 1.307130614922769885e-01 1.241160476458854856e+00 1.504022719708337508e-01
2.419604836805889558e+00 2.217299057061549242e-02 1.012721949188083670e+00 3.634241005458352380e-01 4.629605080749450985e-01 8.189368563724094829e-02 1.301045838778948527e+00 2.457153886113541685e-01
1.526642031927118781e+00 -2.302662204446821390e-02 2.000196301800364118e+00 3.015937549639697846e-01 2.751081815912754247e-01 1.082027911711506696e-01 1.167454771864083751e+00 4.190753063236307696e-02
1.959887671343115478e+00 -1.816976123019684378e-02 1.109887758371583599e+00 2.999081226047464188e-01 3.970618375237353059e-01 8.819673047065586247e-02 1.206710505645861575e+00 7.050001111978676516e-02
2.051025778442281400e+00 8.227168657119214926e-03 1.199404808319118443e+00 3.375268128141170054e-01 3.827911534017989226e-01 9.984779146086815438e-02 1.246825309362040501e+00 1.492629091904439653e-01
2.589900881774410468e+00 -4.951740852455895903e-01 8.351108787644847542e-01 3.559356750087306343e-01 4.888353423714799084e-01 2.653317726601185644e-02 1.247176721123197440e+00 2.644847612816919255e-02
2.113939008116419327e+00 -1.262687542404647700e-01 1.031254906151045203e+00 4.705483450723431660e-01 4.203753092166963024e-01 5.160422961178730283e-02 1.222823007499298065e+00 9.361785916430614973e-02
1.985555027702356368e+00 7.484210317409430158e-03 1.323465712812805783e+00 2.463239999352571930e-01 3.581693023998467340e-01 1.200523574401232418e-01 1.242332297683194753e+00 1.196901578962718399e-01
2.654151463070744121e+00 -3.928669280846509571e-01 9.445276756834373177e-01 2.820657699094274440e-01 4.706537902795523975e-01 8.028585307164436136e-02 1.307878356372239148e+00 6.532141848259948036e-02
2.340264371990017800e+00 5.155170550382708328e-01 1.107834646130993139e+00 1.235075960989061028e-01 4.254510395628172126e-01 1.902470633931367949e-01 1.299937496035185491e+00 2.984346733276140307e-01
2.902843781329620398e+00 -9.210440670512943795e-01 8.249356593720451603e-01 1.785378601815522659e-01 5.352958471519460026e-01 2.185368568226223399e-02 1.267851691023718308e+00 -9.384464109993813363e-02
2.016450318381968199e+00 1.246518290489454228e-01 1.232861484169232025e+00 -4.118296324460502672e-02 3.595528158788055539e-01 1.770573120373532816e-01 1.225706833902734161e+00 4.729018509732349496e-02
2.495180221151108935e+00 -6.936574562039304892e-02 9.459961662794105219e-01 3.678996361443691576e-01 4.682451913402060906e-01 6.748804110503131559e-02 1.273298031578953271e+00 1.748016996842119974e-01
1.615702972690222339e+00 1.178984728074845417e-01 1.791830212986810444e+00 3.296228122708374370e-02 2.965722939895796828e-01 1.480543451889964335e-01 1.184553923043353496e+00 1.279441047174108836e-01
2.599588159574093282e+00 -5.130303136263518748e-01 8.551800129182206556e-01 3.265067468957255081e-01 4.850667486578297272e-01 3.962448929639639933e-02 1.248678228789432465e+00 2.835685794009515023e-02
2.023704489133751672e+00 1.460135076757796135e-01 1.145905631457806217e+00 2.598582943546377533e-01 4.009133464902047139e-01 1.064517297709702270e-01 1.246778020189970526e+00 1.697518229255737532e-01
