# d0	d1	e0	e1	f0	f1	g0	g1	
# 
2.491267866661257824e-02 3.300873097770237047e-02 1.170472023460221792e-02 1.914954731456752768e-02 1.037857820392566266e-03 1.659175290313014009e-03 2.944388134466670694e-04 7.998474823539895558e-04
2.061705280889076022e-02 4.057114640725003468e-02 1.110309194898289123e-02 3.356755829343575914e-02 7.961641179401236258e-04 2.088237102635340497e-03 3.028363761057302852e-04 7.918236610463871014e-04
1.822962009535375114e-02 1.486682251197513349e-01 6.029126895750243180e-03 2.482332211979750708e-02 6.854209084765565223e-04 3.573845055051986814e-03 2.634998937268951086e-04 3.738996317510065621e-03
1.479366812635871942e-01 2.080804225143708663e-01 1.026795174397995315e-02 3.162148750527864899e-02 4.042517346104061021e-03 9.010392463872111610e-03 1.501427161132289209e-03 1.375143610843121856e-03
1.541821981656593329e-02 8.040280232708366115e-02 3.329770734513819164e-02 1.824874535074955673e-01 1.352005442358358801e-03 7.658435497014039195e-03 1.612007065812180024e-04 1.251423017568341518e-03
1.651055730006975586e-02 2.520008426491809200e-02 7.264314143586880247e-03 1.524694377760119242e-02 5.687103365534899868e-04 1.099621954361478362e-03 2.752606918717967694e-04 9.959824876651598470e-04
1.929935959978155979e-02 3.431686455254358281e-02 1.987061239708389285e-02 5.465104862729253110e-02 1.180004859647581106e-03 2.830605189053893994e-03 2.034842436530816571e-04 7.055684542981874524e-04
3.373938889892286186e-02 3.547917410352401796e-02 2.255608532353438681e-02 4.394512812645106486e-02 1.373873014247749746e-03 2.042996485194967585e-03 2.999471395474196333e-04 7.049706645671533368e-04
2.863570978748197077e-02 6.270102997578903825e-02 2.110760378600258936e-03 8.140273529408105849e-03 5.151893934964071062e-04 1.545375761644977647e-03 4.736949420959579216e-04 1.244736288706060770e-03
6.735871801202435172e-02 2.058539559831993604e-01 4.172300549006794333e-03 1.957462595575606285e-02 1.370559805833629135e-03 4.924781519015527208e-03 7.132420335987234121e-04 2.140985366792786011e-03
1.935441846406055905e-02 1.788844283755711487e-02 8.023814059591784231e-02 9.808801591994825708e-02 1.463974980914648600e-03 1.748314871362754682e-03 2.177787592784409434e-04 5.741161902217056323e-04
5.741499387130393622e-02 2.129471335803263254e-01 9.397582550394146736e-03 5.169544729318738957e-02 1.657849297569005112e-03 7.908824308874519773e-03 6.241585846836919613e-04 1.989856623131775696e-03
2.244220318902776651e-02 2.829929620253702344e-02 4.714747241091387514e-02 8.210668925592590206e-02 1.571615556480820790e-03 2.506893033048843665e-03 2.300831846885342813e-04 5.850268244127494310e-04
2.646651879296405344e-02 4.756705635277353600e-02 2.029761311921476213e-02 4.111027496804108700e-02 1.166909977275345112e-03 2.270207052208939209e-03 3.465971683416942920e-04 1.188240398750552238e-03
2.907617763505772335e-02 5.268523817228383532e-02 3.138773833696389352e-03 1.083843437110919988e-02 6.149426291128698126e-04 1.705348932886050720e-03 4.840943991852762144e-04 1.092687812324192676e-03
1.006362522270667914e-02 8.448705698930822003e-03 1.614980878745469195e-01 1.363308599744648131e-01 1.179819745057327602e-03 1.019768620660720842e-03 1.423591483603242939e-04 4.789899847076699280e-04
2.935263093382068159e-02 2.198620475798933674e-02 1.889550582148519925e-02 2.347039129638630456e-02 1.149818200131011523e-03 1.319249281938169411e-03 3.138533814677984895e-04 7.083179579933923794e-04
1.977592508487506159e-02 2.768075516672235947e-02 1.228148735670524933e-02 2.597726455231689005e-02 7.534973923293778603e-04 1.417951720654428904e-03 2.930765572744512730e-04 8.668578350009516946e-04
1.165495875037181606e-01 6.921017782592493728e-02 5.639725718840594634e-03 8.347824573465497527e-03 1.894190650454162343e-03 1.798152488367872311e-03 1.107355210005345333e-03 1.200497080162624608e-03
3.631992835930539232e-02 2.106369294085351160e-02 1.084647576206825351e-02 1.512004154955471670e-02 1.085952584546633157e-03 1.048693968755733032e-03 3.838095680261987067e-04 6.963008355914913558e-04
2.534449917675890562e-02 2.980682767309598968e-02 2.894683805596750051e-02 3.912475185909445458e-02 1.288121497336980770e-03 1.680968767248576220e-03 3.314502825818986965e-04 9.065946146155457819e-04
3.837967572657195736e-02 5.424630680253362397e-02 3.020690362801558247e-03 7.204684874489278995e-03 8.758528427478026301e-04 1.672267267813735449e-03 4.760805746089006988e-04 1.019575597703171023e-03
1.476929696524163609e-02 5.367849998293089397e-02 3.640170320919029930e-03 9.978219045105776730e-03 4.358309352516916363e-04 1.347277106867972828e-03 2.925534134835858875e-04 1.852458484319117332e-03
2.918674495949336589e-01 1.444296004445372039e-01 1.298767066320430895e-02 1.015859502047540032e-02 6.566112121661374368e-03 5.145616960245967368e-03 2.064241460600418562e-03 1.930030546285025793e-03
