# d0	d1	f0	f1	g0	g1
2.356842274717602770e+00 6.415201287318329504e-01 4.534950776097452785e-01 2.101509686341269389e-01 1.270868512212297574e+00 1.851343130486380051e-01
2.410486773434274532e+00 8.321865714297312921e-01 4.576140183563349173e-01 2.249424403672645456e-01 1.291715910435796255e+00 2.243137504758088152e-01
2.342032226611088230e+00 6.393041321070410676e-01 4.427726876153594837e-01 2.188522552808500332e-01 1.256035174216999728e+00 1.641597433574668308e-01
2.574809857508532307e+00 5.915554431011459391e-01 4.388776152843487655e-01 2.337194890937922265e-01 1.303513940568056917e+00 1.702472323549940325e-01
2.357159611344309180e+00 1.209963192902459239e+00 4.525816131535989606e-01 2.650761683720745943e-01 1.263938389224223968e+00 3.113852937256014197e-01
2.370130610673348404e+00 7.693696526257651769e-01 4.517364616976327074e-01 2.006916538080779910e-01 1.277006279774352882e+00 2.223369131249474662e-01
2.254402572539586203e+00 6.711591392918212495e-01 4.482379214721948779e-01 2.129793895002443649e-01 1.243980675804991831e+00 1.881362512307426793e-01
2.036098552456512500e+00 4.135810104604886739e-01 4.258749013194566557e-01 1.728831158244670541e-01 1.208344006295378747e+00 7.530695006134748015e-02
2.369811757628647708e+00 7.554818749788455579e-01 4.433147509586722879e-01 2.136180263445758287e-01 1.275892194920541733e+00 2.047213461506261767e-01
2.290997981162707031e+00 6.834818657931125696e-02 4.237034926055815443e-01 1.722835449497340243e-01 1.247444799683442795e+00 2.487235177441642076e-02
2.158712830329711174e+00 7.521969474748027018e-01 4.239060172623200784e-01 2.019513121252067001e-01 1.235312847769739708e+00 1.783187033914599706e-01
2.399276512783735438e+00 1.262262275863824668e+00 4.559931012437071218e-01 2.772171413560166608e-01 1.276110466346947581e+00 3.279560755888186185e-01
2.282983824651477978e+00 8.140074418261711298e-01 4.431822191216761020e-01 2.237528477361965529e-01 1.248591377691052662e+00 2.198283393361509519e-01
2.332170819836923314e+00 9.080391268990193332e-01 4.480805765860382817e-01 2.317754623247377521e-01 1.267077134789829751e+00 2.501849801918299976e-01
2.334241149473287091e+00 8.695869547397243604e-01 4.616896340536998378e-01 2.141120120374449542e-01 1.277117096036948229e+00 2.536734466430463075e-01
2.151349501666339314e+00 6.313925042487018580e-01 4.292150601914906383e-01 1.835134225162358412e-01 1.227758478678603549e+00 1.471610563412585337e-01
2.115626969442460759e+00 5.963472331433282703e-01 4.253772449596739391e-01 1.878957538100759495e-01 1.224475482419121075e+00 1.383622703263163445e-01
2.395805611654560519e+00 7.872760398017700778e-01 4.461407196163579836e-01 2.179692316550301545e-01 1.283002527107228286e+00 2.204399656964901866e-01
2.042710204467877766e+00 2.964812134466421334e-01 4.087568157727849427e-01 1.725357047878839645e-01 1.203217952807379865e+00 3.596182865731760436e-02
2.172735256184823438e+00 7.906195707140730722e-01 4.281625119385614187e-01 2.136301062578256915e-01 1.233530179290868611e+00 1.764642294381826848e-01
2.408178773237114711e+00 8.539431137820814310e-01 4.488496449275923839e-01 2.255532455442737505e-01 1.282694216289196110e+00 2.285196105923954502e-01
2.466600193645183126e+00 4.783972474217030868e-01 4.405192413422025499e-01 2.210392477264386535e-01 1.292182090004923012e+00 1.400008213814887548e-01
2.500849449208442099e+00 1.081142829213575185e+00 4.657940151288775255e-01 2.500801579021815768e-01 1.302959352679806448e+00 3.119812232239601579e-01
2.224971319626471988e+00 -4.293720485687934074e-01 4.235991064287563668e-01 1.404354887042143507e-01 1.217848747997350323e+00 -1.067856144173887772e-01
2.333609688145297678e+00 3.870739472106251577e-01 4.268595578812007796e-01 1.947886667785579673e-01 1.259851319033149730e+00 8.466794593248386236e-02
2.313411983071050226e+00 1.058002030218568201e+00 4.390368444724809804e-01 2.451807569532694631e-01 1.258239362100822767e+00 2.765723471886145091e-01
2.224866598105756044e+00 9.194520140368578343e-01 4.441835333645117179e-01 2.263655837044110386e-01 1.242669258464882187e+00 2.535563065229021751e-01
2.103386910048209657e+00 3.305455790933063409e-01 4.118578994788405501e-01 1.844912398426961919e-01 1.208107866933113783e+00 5.964412809165825502e-02
2.230290606176484225e+00 7.726600171279802698e-01 4.436179243376924264e-01 1.937226227654837429e-01 1.260570791398940127e+00 1.973715044169733202e-01
2.315962989151353124e+00 8.461402956205285042e-01 4.428820177053327534e-01 2.183718469424859587e-01 1.262650385840814682e+00 2.310234654126816778e-01
2.295080827273033641e+00 6.500462279675637278e-01 4.366495998709121196e-01 1.969695221162613974e-01 1.267491512992897862e+00 1.636522592278253918e-01
2.166084146382240672e+00 9.313483498874031152e-01 4.417105015169442983e-01 1.950130826674287554e-01 1.244210731415472004e+00 2.345074656081330977e-01
2.154188699001985174e+00 3.391598288193585220e-01 4.176020299751341813e-01 1.813544335836426158e-01 1.223344939543099530e+00 5.114917987395900534e-02
2.270069519407919234e+00 6.958534417289253815e-01 4.400620323028831549e-01 2.165385486532427906e-01 1.254213159525968235e+00 1.718929931166307823e-01
2.386237387162359003e+00 1.136516062038005925e+00 4.541397803883878703e-01 2.405996273788858775e-01 1.284840157909251879e+00 3.013224074024312693e-01
2.296473869284596958e+00 7.893463237100974972e-01 4.467210648343667989e-01 2.295639529073696394e-01 1.247384473058580356e+00 1.989092940437787449e-01
2.237208774231606245e+00 7.984737274069506618e-01 4.480371945688144120e-01 2.081508321887847734e-01 1.256322697263667409e+00 2.092535735801988872e-01
2.386704105560163214e+00 4.452075111261205032e-01 4.352978582307816535e-01 2.161822566304882343e-01 1.267896213966630103e+00 1.238702704893042683e-01
2.166965574990543875e+00 4.891621701230636776e-01 4.193994885681378015e-01 1.998224285441809189e-01 1.229132736125553960e+00 1.034902051733383455e-01
