# d0	d1	f0	f1	g0	g1
2.357425032391256448e+00 6.439084550555740361e-01 4.535229248521591150e-01 2.106367605459991688e-01 1.270982120636822366e+00 1.860866668671463109e-01
2.408144919807152728e+00 8.254370160648272226e-01 4.575847375894286917e-01 2.240751359303128909e-01 1.291314583433869068e+00 2.224040080973721523e-01
2.342712499083065669e+00 6.442731705560320599e-01 4.427550609108705237e-01 2.194739532790014602e-01 1.256217949990035665e+00 1.655081545091744433e-01
2.577309631582498373e+00 5.845665442957186375e-01 4.390074452701054897e-01 2.335095803300837602e-01 1.304156789527249449e+00 1.687137984072453190e-01
2.358697846836585121e+00 1.209430111346692316e+00 4.526589263120094353e-01 2.651671636514997266e-01 1.264331621497611691e+00 3.118075506472194891e-01
2.371039336171190559e+00 7.696140041664504272e-01 4.518218841648304895e-01 2.008758698697447609e-01 1.277248170159632767e+00 2.221112083566945949e-01
2.256079676453946359e+00 6.633594342637190167e-01 4.483748547982355226e-01 2.127365933612302973e-01 1.244364705641380908e+00 1.862510494073024159e-01
2.016381118133262262e+00 3.365013675429637252e-01 4.253974377569456067e-01 1.660671123668498450e-01 1.204238835288065523e+00 5.470860102192293128e-02
2.366835839117658935e+00 7.540961673380378594e-01 4.432828556914960028e-01 2.130762448728619474e-01 1.275318095760368919e+00 2.034764528119069882e-01
2.289768522118607041e+00 1.304463818795091323e-01 4.235455907191499336e-01 1.767602190745987956e-01 1.247435139743967358e+00 3.827671131779034064e-02
2.161662831607795265e+00 7.485718463556556568e-01 4.240115401027708120e-01 2.019407350681552693e-01 1.236003197740568105e+00 1.779213999312357075e-01
2.398203044269103579e+00 1.259121704938477082e+00 4.559528895248444735e-01 2.769674865606889247e-01 1.275791503206654021e+00 3.267190161269011850e-01
2.285186984398673626e+00 8.247600878983547545e-01 4.433003757653461996e-01 2.249062357680876034e-01 1.249116881632217790e+00 2.227607503110582698e-01
2.331411251529508455e+00 9.004605702609248530e-01 4.480690290600893300e-01 2.314101642798198077e-01 1.266859162366360314e+00 2.477802564792124518e-01
2.338209445983680634e+00 8.607186049323107824e-01 4.619465650411717084e-01 2.134354909796324362e-01 1.278010654076805253e+00 2.516633761637647737e-01
2.151174002911274474e+00 6.334192939248084464e-01 4.293211156884966795e-01 1.835104803652871652e-01 1.227698800934310164e+00 1.476210378860318140e-01
2.119465426799921559e+00 5.913689505363323162e-01 4.254870155135473397e-01 1.881884449024656680e-01 1.225298774038016569e+00 1.375781442310972380e-01
2.374716827270823227e+00 8.502823478271533952e-01 4.450124307027755188e-01 2.219087304772259517e-01 1.278746436678551479e+00 2.326659031683996348e-01
2.046194937005412662e+00 2.726501285106043282e-01 4.089101848609544843e-01 1.712958244399671037e-01 1.203890755379724675e+00 3.149395941095860241e-02
2.173555016175776622e+00 7.851662539655877016e-01 4.282286859815581659e-01 2.134421798122611569e-01 1.233766772539313994e+00 1.751951757727977788e-01
