# d0	d1	f0	f1	g0	g1
2.174909761029948305e-03 2.281207177266551811e-02 5.572936028658407468e-06 1.760241734592322418e-04 9.034318878466983459e-05 1.240456536730514658e-03
1.743325260477689327e-03 1.893931308252139872e-02 6.151555657126760258e-06 1.186435617048977730e-04 8.151321813479439735e-05 9.932262807659715011e-04
2.430219154530373696e-03 2.617950069139014443e-02 5.144381918345922414e-06 1.677976802275486247e-04 9.090827534565781832e-05 1.337761298626755947e-03
2.979655897705215609e-03 2.964543356794613338e-02 6.747429189631485806e-06 2.036460356113050914e-04 1.077941106986940315e-04 1.456991755254190279e-03
2.279478253343841711e-03 2.248470554117766237e-02 5.735992028439206169e-06 1.904589371493778599e-04 8.929482906561513988e-05 1.220742686900255780e-03
1.697413357441623222e-03 1.817358253958149469e-02 6.175571941836698692e-06 1.148741817460737961e-04 8.042729273432475752e-05 9.498519543116330094e-04
2.566466533984360955e-03 2.055612964118330027e-02 4.807896127543869888e-06 1.543915264112553584e-04 9.276523141417727361e-05 1.050034740229452857e-03
2.528069356716828794e-03 2.164438767401994854e-02 3.857693293585223166e-06 1.056393372974900917e-04 9.097040504926710825e-05 1.052001097308538505e-03
2.109220853469598138e-03 2.617050113323842603e-02 7.386112132018627803e-06 1.663930435771979253e-04 9.784321625358822952e-05 1.427335326045726287e-03
2.547481096487853609e-03 2.694600215345049898e-02 4.737624607804434149e-06 1.435406912330619707e-04 9.037600587516738076e-05 1.265127234429376741e-03
2.034161350354714900e-03 2.258510913089862085e-02 5.572168475273819368e-06 1.440681741915728314e-04 8.975430121422255884e-05 1.245089751799305540e-03
2.082827160130985931e-03 2.312622547684390489e-02 6.981231808885634296e-06 1.852392820510957152e-04 9.344408732030224263e-05 1.318193462667405528e-03
2.229216352242342075e-03 2.300321805874536163e-02 5.460513757216434171e-06 1.705976280964617022e-04 9.146762082912763257e-05 1.259621847276490552e-03
1.966980106085971722e-03 2.425831386294000080e-02 6.452274985524367853e-06 1.649850771871098464e-04 9.044740184200897814e-05 1.323354464790076112e-03
1.493599124470606533e-03 1.890985017606990407e-02 5.748305539077643657e-06 1.143273260973600846e-04 7.238700156141607278e-05 1.013676047258906887e-03
