# d0	d1	f0	f1	g0	g1	B	
# 
2.391097889130064935e+00 5.570408496651741981e-01 4.548881695049382667e-01 2.058126172556564992e-01 1.277733958522267566e+00 1.697230812443389358e-01 8.133690318230609506e+00
2.410551376272856317e+00 8.319128965244284579e-01 4.573684176831997461e-01 2.246837067713234326e-01 1.291692002168931319e+00 2.240111955720889836e-01 1.969563859099377368e+00
2.342173218810812418e+00 6.407391916812289479e-01 4.425311263089385938e-01 2.187969953717174010e-01 1.256049951241381413e+00 1.643624726282254256e-01 8.974840247094647339e+00
2.561714773238914944e+00 6.480711252242798981e-01 4.381475327886273363e-01 2.365684097162017441e-01 1.301191162547724378e+00 1.811377714610163114e-01 8.389774207449475441e+00
2.357322061077432362e+00 1.212515029323898208e+00 4.523335962231018748e-01 2.650869798971265956e-01 1.263948307716823871e+00 3.118778845609248562e-01 7.353697634337525990e+00
2.369031845537717285e+00 7.676319257673034357e-01 4.514318412459750740e-01 2.002376508432708035e-01 1.276736355647818399e+00 2.215366807731655174e-01 2.393844175801646657e+00
2.254632481675604261e+00 6.716961787603077383e-01 4.480012313234258969e-01 2.128235194474516201e-01 1.244014890559432818e+00 1.881674034515188887e-01 8.473608078842028490e+00
2.016228507260263925e+00 3.375992285687939853e-01 4.250399042565692342e-01 1.661512657903473633e-01 1.204122392556297605e+00 5.524155943453231549e-02 2.698846907683642105e+00
2.369934459936780868e+00 7.535468925368172810e-01 4.430836889185870153e-01 2.131991503569410917e-01 1.275846220003419962e+00 2.040748506537193585e-01 8.354824933858353120e+00
2.291655725979031999e+00 7.688472366675480618e-02 4.234492432132643258e-01 1.728236305843209308e-01 1.247560570865106966e+00 2.684946347181943124e-02 8.594910600834303693e+00
2.208162479589294236e+00 7.531258258789799154e-01 4.263010130645554785e-01 2.041027084572933636e-01 1.245872579596969398e+00 1.836607828633700090e-01 2.588980956188527749e+00
2.399397015171810921e+00 1.262976449336442375e+00 4.557438778675911295e-01 2.770224528807880282e-01 1.276112898644645499e+00 3.279649283619489597e-01 5.808501371154919823e+00
2.283456239488585116e+00 8.170933163679754418e-01 4.429505465910945072e-01 2.238123757979937622e-01 1.248675595332189525e+00 2.204552439774401518e-01 6.662136624858942646e+00
2.333892073465275274e+00 9.144373918395652945e-01 4.478749771800529800e-01 2.322489139263991809e-01 1.267401092104553317e+00 2.517254664646361162e-01 9.228259588556321447e+00
2.334004673061214508e+00 8.692148576507454649e-01 4.613760065455136394e-01 2.138588324154102049e-01 1.277014588709897369e+00 2.535059276169800424e-01 8.973372822035543095e+00
2.151321993013576961e+00 6.312079743882084149e-01 4.289945098084564368e-01 1.831776219858403665e-01 1.227741961359541500e+00 1.468680166556068090e-01 2.950820765689822434e+00
2.115427475558921966e+00 5.972574156285020974e-01 4.251278939132701606e-01 1.872198272037879918e-01 1.224459662578803121e+00 1.382674954393671718e-01 8.819430206907705738e+00
2.371123820903452639e+00 8.598043399394477149e-01 4.445368739865367402e-01 2.218887271917098503e-01 1.277961845075400227e+00 2.347213340478640498e-01 2.589721768877465635e+00
2.045125880850657829e+00 2.688797978435430447e-01 4.086163985330878434e-01 1.707689533695651851e-01 1.203552050495788173e+00 3.017323158876832750e-02 4.939425501746595337e+00
2.173054997223300422e+00 7.914312849152944640e-01 4.279365376036889379e-01 2.135002277955284911e-01 1.233573581512434902e+00 1.765298062248664146e-01 8.437541603531572676e+00
2.408017775506209102e+00 8.536731993057540269e-01 4.485789423019149180e-01 2.252264829653724543e-01 1.282631844775499408e+00 2.282919003514816414e-01 5.038024500539396655e+00
2.492709576422037276e+00 3.295573938802888181e-01 4.418058003983905135e-01 2.102122069371573920e-01 1.297354060982054635e+00 1.081991491422962665e-01 9.998733238443103133e+00
2.500360497498815171e+00 1.083244194221899992e+00 4.655200262905717090e-01 2.498969260455975727e-01 1.302812540539036945e+00 3.123453234590884975e-01 7.442822448033251881e+00
2.248445954235568589e+00 -4.885546109206946319e-01 4.232873765104834818e-01 1.405921701099599741e-01 1.221434557395438603e+00 -1.155125590990582624e-01 9.556498663405141869e+00
2.332295923734795551e+00 3.924204367698115870e-01 4.265950713752021395e-01 1.947364685645756599e-01 1.259620020560745512e+00 8.557916466672710332e-02 4.988797715298150415e+00
2.313352913962682056e+00 1.059102435658675789e+00 4.387952370899769194e-01 2.450264095140588794e-01 1.258213613970942335e+00 2.766770055841025200e-01 5.447097569365706882e+00
2.224887695321942527e+00 9.197915385523894871e-01 4.439319218334545902e-01 2.261404334677645789e-01 1.242635550561124180e+00 2.534123856035956357e-01 7.773472070898000297e+00
2.098583784737017677e+00 2.692244569413164146e-01 4.115449623871041407e-01 1.798820372234500031e-01 1.206897860649090992e+00 4.528473458137002861e-02 2.600475474859095026e+00
2.214828050531330028e+00 8.130246643756174896e-01 4.425806014750501283e-01 1.955260622413137750e-01 1.257308097166115690e+00 2.053056663974610063e-01 9.911802198813768783e+00
