# d0	d1	f0	f1	g0	g1	B	
# 
2.453493282482481330e+00 -2.329561634772708167e+00 4.025583334072249664e-01 1.103507117427003026e+00 1.288686370421186167e+00 -3.168724882026905942e-01 4.502259347668687850e-01
2.545784702084629814e+00 -2.676238639039020484e+00 4.087821335832709235e-01 1.247296948006660244e+00 1.324644852970588982e+00 -3.521026386097997896e-01 4.613039931943841987e-01
2.426882404746006916e+00 -2.202187830681600289e+00 4.275630999760316464e-01 9.896710396504804219e-01 1.273678835471758086e+00 -3.321921331210999639e-01 4.402227797695085210e-01
2.733421197670033109e+00 -2.330889884354185426e+00 3.420744777801691949e-01 1.135778425746151177e+00 1.332005179768154912e+00 -3.529466276602890584e-01 4.525665604749182225e-01
2.515625755813796438e+00 -2.677174585747914115e+00 4.208732121497734679e-01 1.414207750809504338e+00 1.296624806270486374e+00 -3.459940898263001996e-01 4.555217633399114563e-01
2.530053261760730088e+00 -2.516568289399268910e+00 4.154497736075919434e-01 1.086451470372255201e+00 1.314296839610276102e+00 -3.126236173685813524e-01 4.557583028949347970e-01
2.423546328580038267e+00 -2.364618346419616213e+00 3.746352332885902747e-01 1.244234533967329082e+00 1.274271098501676747e+00 -3.128226373986165987e-01 4.467840685164402581e-01
2.204791394465149601e+00 -2.078743855413387909e+00 3.271323913574822884e-01 1.067936917810810460e+00 1.235493644364700438e+00 -3.247663070529493989e-01 4.148114746047784629e-01
2.445289281673300064e+00 -2.164113355771248859e+00 3.757365597754087627e-01 8.663658287649621537e-01 1.287189023842280733e+00 -3.245050941313513682e-01 4.379464771235007658e-01
2.457096970391705160e+00 -2.003902874438060255e+00 3.243910478973695555e-01 8.585497549276496221e-01 1.275201031198874846e+00 -3.298848710192584521e-01 4.248895830172024213e-01
2.195333513537310210e+00 -2.270852162182402711e+00 4.169747403383757267e-01 1.061148799967543299e+00 1.245984963864133155e+00 -3.249009064958917614e-01 4.122217274586250646e-01
2.524063787421761962e+00 -2.502706628485836138e+00 3.860753871821594463e-01 1.199137480436445191e+00 1.299865813039377205e+00 -3.548177510831344583e-01 4.566394458061296402e-01
2.359932037073689592e+00 -2.458982211949270802e+00 4.262337943772009918e-01 1.203883885877649274e+00 1.265872434031922289e+00 -3.270103478938766739e-01 4.367542387880734567e-01
2.424998754495454545e+00 -2.511506267145090732e+00 3.923640523559625004e-01 1.169384640878289083e+00 1.286319536771649563e+00 -3.366619032579931114e-01 4.432113399007724941e-01
2.465108561329334425e+00 -2.379875006838810592e+00 3.998006976825850267e-01 1.030834700286569428e+00 1.303685557126278427e+00 -3.045693984926513553e-01 4.597674783845788760e-01
2.196782793547508383e+00 -2.189168638538848022e+00 4.087975087252165296e-01 1.010419012694826923e+00 1.239607176613239048e+00 -3.141482970561658150e-01 4.152871413017124591e-01
2.287287693115701792e+00 -2.190173283924599534e+00 3.370076198196419459e-01 1.092149385724707322e+00 1.253360117466160606e+00 -3.225604306939048871e-01 4.187258861286083378e-01
2.498094400471762455e+00 -2.490022165064896598e+00 3.961820442549441879e-01 1.125639488839794700e+00 1.305267012987281872e+00 -3.346014167346483825e-01 4.459981819675826187e-01
2.315139693036800228e+00 -1.938895332373144376e+00 2.701068332890218526e-01 9.528143438819697275e-01 1.247867967570259973e+00 -3.334237332777044149e-01 4.080407227243313950e-01
2.380133651370266445e+00 -2.311592841124032738e+00 3.292026391276709485e-01 1.167541511842446145e+00 1.270339280674666060e+00 -3.479738946851455017e-01 4.268306893502858967e-01
2.430718036129285942e+00 -2.530390038832624366e+00 4.564379125317129526e-01 1.157777732596622755e+00 1.293287317271766490e+00 -3.347288462599218861e-01 4.442257055571304791e-01
2.604077596029970465e+00 -2.336227166508303643e+00 3.527260488235298141e-01 1.006046761813303325e+00 1.316066071358882539e+00 -3.630921976039164223e-01 4.462852373131193651e-01
2.628817648376530425e+00 -2.475187023767521755e+00 4.413953125062907157e-01 9.789775389686706797e-01 1.333595196842550346e+00 -3.191780745661837448e-01 4.729040216419043707e-01
2.372213109933234421e+00 -1.704351834200397153e+00 2.748105910906326610e-01 8.634511423003752295e-01 1.242098401722152801e+00 -3.070267084642692157e-01 4.222195017329151145e-01
2.375786471577627346e+00 -2.239735153440539861e+00 4.521895347450931024e-01 9.737164330072047846e-01 1.271208250335465140e+00 -3.505119640170336059e-01 4.227068783137576946e-01
2.487527902141284830e+00 -2.367408601906095811e+00 3.291422127932429609e-01 1.190855290291450874e+00 1.287072559176201558e+00 -3.292854372385802253e-01 4.404107144811041374e-01
2.317013173563417627e+00 -2.498796691643277335e+00 4.016282571536657908e-01 1.205069213842439035e+00 1.264664528925842468e+00 -3.247320197091543292e-01 4.361303134573219498e-01
2.320641311716013178e+00 -2.072092367047121630e+00 2.907130932074275531e-01 9.997280947203699419e-01 1.243865422434765389e+00 -3.449046053146207491e-01 4.089670040517612848e-01
2.288457987288181616e+00 -2.210149145907367885e+00 4.001181029562610458e-01 9.736440928288395691e-01 1.273652758681713015e+00 -3.010053303997878849e-01 4.331714861365172919e-01
2.395981672992034905e+00 -2.237841717563494814e+00 3.849323492106175304e-01 9.013998804078114935e-01 1.277907128259915259e+00 -3.174540019517037570e-01 4.356349075255273040e-01
2.260341863523161354e+00 -2.358210559985758792e+00 4.407912628401711719e-01 1.093345554934130437e+00 1.265378881423495194e+00 -3.283716270367416645e-01 4.239256332567337138e-01
2.264314842056971866e+00 -2.284622750251549927e+00 3.885750351039038986e-01 1.108322874950377734e+00 1.264309237359734439e+00 -2.921358323616397024e-01 4.310624007615863618e-01
2.342197154375863288e+00 -2.114459942464556264e+00 3.295509267255500307e-01 1.047067863052071113e+00 1.255603065847752831e+00 -3.482390698927766426e-01 4.150573299939636085e-01
2.415425418947039660e+00 -2.231339268715160973e+00 3.622679913405920105e-01 1.057505846816905626e+00 1.279918136732772993e+00 -3.383360779829744369e-01 4.382569781605477610e-01
2.438232440549566782e+00 -2.576130243760029082e+00 4.413464774423677683e-01 1.232035595211618650e+00 1.299934114360215887e+00 -3.254634707593491161e-01 4.506134703117147811e-01
2.481529862111327756e+00 -2.282638887633995584e+00 3.570471265604928668e-01 1.210943245011135261e+00 1.280396371091061969e+00 -3.235300542974368643e-01 4.492288129759572368e-01
2.296544284206879283e+00 -2.221731536841329291e+00 4.079727238895228814e-01 1.002111480715158764e+00 1.269414790955733618e+00 -3.081687936047173282e-01 4.379954214036390070e-01
2.591952635794648963e+00 -2.119898672255934535e+00 2.795919491934065193e-01 1.004328691533599605e+00 1.301413569734363174e+00 -3.417170213542460866e-01 4.436467515926210692e-01
2.363457556537435167e+00 -2.178210414970294106e+00 3.099209999746682098e-01 1.074501961911974668e+00 1.262214608003624283e+00 -3.495001408280573041e-01 4.183493865896506514e-01
