# d0	d1	f0	f1	g0	g1	B	
# 
3.624322966167161167e-03 1.274891861435601889e-02 1.428610349533668365e-03 9.590798842912822211e-03 1.043088776421753427e-04 1.221429816984698268e-04 1.937725472039710263e-05
2.717898952665258154e-03 9.812672511683877274e-03 5.083430959872205267e-04 8.323305167503141158e-03 9.689212893550138827e-05 1.384385905383599439e-04 1.729111479964751130e-05
5.130879239252113429e-03 1.789023219200435236e-02 3.363776818874233791e-03 1.140029877951980776e-02 1.285157354930061241e-04 1.369671026144185272e-04 2.431763846683437859e-05
3.796203292807142412e-03 1.887863052141725353e-02 1.800331063718590367e-03 8.238095274126853995e-03 1.234928403259083073e-04 1.838036260892645139e-04 2.550122494987534552e-05
2.478113546542635472e-03 1.190951424772951003e-02 1.000246218375378752e-03 8.398104946013099439e-03 7.804577181339443449e-05 1.219806758049520734e-04 1.378391564934839289e-05
3.013753081637429113e-03 9.183919888968614456e-03 4.971979708073145324e-04 7.232401934128192614e-03 1.122602675589053826e-04 1.308540496820035379e-04 2.039195436980153852e-05
3.174469513960817123e-03 1.437365457174851098e-02 1.305853680307514581e-03 7.768077813323280220e-03 9.498080079965861514e-05 1.350472766913379287e-04 1.589928765391931151e-05
3.785369626105040443e-03 1.365215577791351921e-02 1.108502631764485919e-03 8.831984909474540138e-03 1.047090417234152669e-04 1.231103493156114083e-04 1.652257447938549175e-05
4.654875065765628345e-03 1.056557906556885272e-02 6.905528285146540031e-04 7.414248966024721173e-03 1.590441961311068564e-04 1.288765218406018082e-04 2.803560098935273397e-05
5.550480704823734096e-03 1.662399668496609279e-02 2.627685456478155018e-03 9.208282542513339733e-03 1.544112252745204151e-04 1.489347532972286662e-04 2.932534534959208483e-05
3.537453995975671159e-03 1.210532491839383384e-02 9.643334395182170124e-04 1.028289338585450761e-02 9.890183185735794728e-05 1.367198827055472363e-04 1.388169911679499651e-05
3.144146112317918428e-03 1.042219113225349193e-02 8.526218764475798975e-04 8.148704448865142641e-03 1.038142971936216604e-04 1.185048374418316218e-04 1.899522368658977591e-05
3.337902356650532688e-03 1.155392904252183599e-02 1.236277896277523372e-03 1.022838661951024769e-02 9.712336980581891363e-05 1.152318778076438967e-04 1.569010665954618595e-05
3.295031785269125248e-03 1.123805528527500527e-02 7.052169665301220424e-04 9.813618015637662687e-03 1.084765446274046674e-04 1.321145564999915583e-04 1.851235165435833067e-05
3.315186070863927921e-03 8.910621691126592234e-03 4.166010510317779835e-04 7.081484917954147459e-03 1.213246166101111752e-04 1.134688632366547705e-04 2.290362709685927047e-05
3.765013003390579698e-03 1.253430842865579757e-02 8.477021161276430744e-04 1.043412878694049799e-02 1.135282377379837466e-04 1.581152130816929286e-04 1.665092716552397402e-05
