# e0	e1	f0	f1	g0	g1
1.211464844030445409e+00 1.879850045064432318e-01 3.872028810021875267e-01 1.151115885620596357e-01 1.228570768077408726e+00 7.779517101772072396e-02
1.259916238380498710e+00 3.906699277578331575e-01 3.783085031392377506e-01 8.382117899797429661e-02 1.250023738573076360e+00 1.409993364334142241e-01
1.131510027839690791e+00 1.028397725719742278e-01 4.010845813429605999e-01 1.349652722718648334e-01 1.207756879607433609e+00 2.995224654754145843e-02
1.329443907882444931e+00 7.988295014879958078e-01 3.411851748400377971e-01 -1.710135520549153215e-02 1.234693354614881278e+00 1.077062524604842364e-01
1.272773892055963696e+00 3.283954624421900337e-01 3.698246724167206789e-01 1.026337909672810911e-01 1.225531549793554609e+00 1.086692432841123157e-01
1.272932134036176777e+00 4.432760860829756400e-01 3.715220352708150098e-01 7.342732866418720528e-02 1.246689333673869138e+00 1.839836585267024816e-01
1.138590074575917654e+00 1.026168017569120267e-01 4.046702550084494421e-01 1.384155138870506174e-01 1.211065311924359955e+00 5.980076506750794940e-02
1.073733210816640193e+00 5.104118294951072443e-02 4.041003759030781239e-01 1.400007453308258765e-01 1.205255466652300989e+00 5.614056662173352689e-03
1.185316347024140349e+00 3.026014380397025749e-01 3.849643305324146336e-01 8.813141261405446625e-02 1.230235970871190077e+00 9.873685789826232295e-02
1.073816605017993142e+00 4.834503145998191032e-02 4.002442528637870089e-01 1.314852427847275629e-01 1.203375392551387035e+00 -6.803696097358704134e-03
1.067575334794713671e+00 1.011476680332618616e-01 4.005190123577465067e-01 1.348618357366615783e-01 1.209722744404259975e+00 4.372372373592381400e-02
1.318299270200904427e+00 4.718210866803789205e-01 3.604050515851448533e-01 8.503994907089253152e-02 1.235909952670923850e+00 1.389556708303853749e-01
1.122118344961478442e+00 9.805218166705789717e-02 4.023076869011659173e-01 1.405018740980842062e-01 1.207266909851538950e+00 5.970688566275653142e-02
1.220714745829364345e+00 2.613120281810603074e-01 3.809691391448435938e-01 1.117424572331799787e-01 1.231877530130325527e+00 1.145962442846140128e-01
1.267899231525413395e+00 3.619380212804828023e-01 3.826101721713244808e-01 9.177111333689901007e-02 1.251042376095667041e+00 1.746931437409283139e-01
1.085151760613310978e+00 7.520902425365762201e-02 4.000943159587793119e-01 1.375457107218122366e-01 1.205792421299346273e+00 4.397896366029216408e-02
1.074161707914412567e+00 9.177507686340692639e-02 4.007809309929557529e-01 1.368577236861455715e-01 1.206940679052033394e+00 3.559289455425292820e-02
1.241205013080353803e+00 3.550027094961287766e-01 3.709967040124360071e-01 9.270408297168403200e-02 1.238184654299350207e+00 1.326848541443467755e-01
1.036569878153418944e+00 7.923403906401955965e-02 3.977896015521541484e-01 1.360066267441079335e-01 1.195196392201080426e+00 -1.115517732986003041e-02
1.089291384565101772e+00 1.019830912587467581e-01 3.997773492510057203e-01 1.405744925696346959e-01 1.209129643693785505e+00 3.497028323420486168e-02
1.224173653630720171e+00 3.439958051659677274e-01 3.781866235575771507e-01 8.667255644947559345e-02 1.233987940115255144e+00 1.113602509263781903e-01
1.321882636894729401e+00 2.203987905716164319e-01 3.455459390779960227e-01 1.202030567859042332e-01 1.240996874304534092e+00 6.375795117886720598e-02
1.321020724884198971e+00 5.775571692741970908e-01 3.671842786531883673e-01 5.496218167472679411e-02 1.250204978774536624e+00 1.984509990217597775e-01
1.072332723961063605e+00 2.447691325800382608e-02 4.060405931419878711e-01 1.182248400008089062e-01 1.189568681170239506e+00 -4.801255326326795553e-02
1.078415590930995593e+00 7.750506997929072772e-02 4.011433820064016498e-01 1.277894901961320329e-01 1.208157787178752329e+00 -8.396082157579485075e-03
1.268578772837352098e+00 3.307838833567163239e-01 3.610665636449507110e-01 9.857417793463535416e-02 1.229371360260663515e+00 1.140030942984459061e-01
1.123068983996981629e+00 1.171445317883752502e-01 4.038129553416185957e-01 1.447135394409133080e-01 1.213450482019939214e+00 9.457817018641702378e-02
1.051147199511918373e+00 7.342420272636164535e-02 3.977760423366459852e-01 1.384591020824939844e-01 1.193128526626830332e+00 -1.333721163408727907e-03
1.175539971887404223e+00 3.111374136068529306e-01 3.908813898418685429e-01 9.271759312924682250e-02 1.241451056268280340e+00 1.295632454324397165e-01
1.207800675366467846e+00 3.111747747236406347e-01 3.805577181533752462e-01 9.890794995581728144e-02 1.232103070141796985e+00 1.333313245202808195e-01
1.155916560393396741e+00 1.983400798838237666e-01 3.863340626606514561e-01 1.132718623862634388e-01 1.229919605705505514e+00 7.098886174783403114e-02
1.175316797112998302e+00 2.945461646436192127e-01 3.899859087058060725e-01 9.694302991125293423e-02 1.234436248134466396e+00 1.325838121137168646e-01
1.055719246146967549e+00 6.421899049069156040e-02 4.008700449152156620e-01 1.354376867406696383e-01 1.199701447491320794e+00 -1.577874339916666632e-02
1.177312626262991602e+00 2.110037233930950884e-01 3.858648589444431121e-01 1.171852511835083793e-01 1.223519125674142449e+00 6.044328379696570219e-02
1.268186414923809568e+00 4.642693172845405725e-01 3.721404321895454004e-01 7.126751926761951128e-02 1.244716804310796343e+00 1.581940028738122173e-01
1.269974140132378304e+00 3.086221325744338273e-01 3.683565036299151219e-01 9.658298406884360809e-02 1.221902425949638271e+00 8.008841576710259980e-02
1.132996851970721197e+00 1.153043711613019606e-01 4.041083982900033900e-01 1.362066515148368795e-01 1.225797348990444569e+00 7.741114233767887320e-02
1.247943719253683748e+00 4.624166797064638845e-01 3.618308895083051646e-01 6.000715255364892642e-02 1.224920453858951985e+00 7.819505419115996281e-02
1.069925043454601266e+00 9.919838242736768452e-02 3.980591831075423470e-01 1.372716603472981800e-01 1.204026263554978327e+00 1.145434379822239668e-02
