# e0	e1	f0	f1	g0	g1
1.242400454751396488e+00 1.353633928947256815e-01 3.789853512022816062e-01 1.311419102203379150e-01 1.230791801582423073e+00 7.672303934859363295e-02
1.346129912293675845e+00 1.609847952159782769e-01 3.571163959225156503e-01 1.417468533495867544e-01 1.257644172042650110e+00 1.226580259921690452e-01
1.273278079309547062e+00 2.354546043358882734e-01 3.622942330859942328e-01 1.123930343248744634e-01 1.220124182239330057e+00 6.533973746955214212e-02
1.690786959552490698e+00 -4.160290154210518482e-02 2.613210852608465196e-01 1.725446393352511043e-01 1.252702919334667264e+00 7.036923294331935697e-02
1.253798577678007620e+00 4.226136479596469542e-01 3.752183560279194752e-01 7.973947626762767360e-02 1.223174966129809693e+00 1.198647547685207232e-01
1.355742784300964621e+00 2.468377419253335592e-01 3.516576323915128199e-01 1.224629184052707792e-01 1.254409064518647865e+00 1.690505525696839872e-01
1.136558435832609515e+00 2.106707714663990649e-01 4.058045266468608969e-01 1.093933554530532731e-01 1.210453092162356414e+00 7.554975366377032764e-02
1.092264247734859195e+00 -8.226412466766186427e-02 3.988057571578206284e-01 1.749644579648075848e-01 1.205914041229330547e+00 -1.041037870391816819e-02
1.290691434238778079e+00 6.735817063872108490e-02 3.586978241341325369e-01 1.495734257320657234e-01 1.240602883338635776e+00 8.221061847955492274e-02
1.302169106365127504e+00 -2.077541006662979861e-01 3.375007364690353340e-01 2.134829375389219186e-01 1.222165877122892041e+00 3.739791030335237482e-03
1.037820715094507795e+00 2.936098646115352651e-01 4.096334614226795345e-01 8.481363556756572886e-02 1.206737671801888956e+00 7.276442698828231026e-02
1.316853813594729639e+00 4.814136515290059481e-01 3.611084647227234545e-01 8.275921609334882523e-02 1.234955660892038010e+00 1.415528867330181906e-01
1.165376920231299573e+00 1.812021329480759668e-01 3.910579436833976907e-01 1.238787124381121457e-01 1.212256705445691640e+00 7.968390051725735002e-02
1.250994546363115800e+00 1.685111502728478261e-01 3.734338519549526003e-01 1.352178483230723482e-01 1.234667550247369627e+00 1.068735672965341887e-01
1.330568657851445957e+00 2.034314251546866514e-01 3.670713964631657777e-01 1.323395013877511628e-01 1.256715291071885288e+00 1.627980482303631460e-01
1.077836316161040475e+00 1.754547812941590068e-01 4.028184082428260537e-01 1.127048470944300856e-01 1.205515953525707618e+00 6.121811260476731770e-02
1.109973044881970017e+00 1.602413280820679520e-01 3.916358826061241416e-01 1.229396962080032685e-01 1.211640444101505398e+00 5.273137736119212771e-02
