# e0	e1	f0	f1	g0	g1
4.894269550386264045e-03 3.091794464836757420e-02 3.567815522494520854e-04 2.209398993151263490e-03 4.627157939179345853e-05 4.273921040343872961e-04
3.900101427788832571e-03 2.843242980543772211e-02 2.260054412370374286e-04 1.609239421152161694e-03 4.176679241210255500e-05 4.464307864507347694e-04
1.173646424778811322e-02 9.188562360370368387e-02 8.678362452408156956e-04 6.443102871171972265e-03 7.370077195242227548e-05 7.853738073513803200e-04
1.687020873815884420e-02 7.535571952928761530e-02 6.773697125097877551e-04 3.357091556963226388e-03 3.426810576281525832e-05 3.130397734960312594e-04
6.536806077566243399e-03 5.279929237380301399e-02 4.670886255728633110e-04 3.374276223981490744e-03 5.957050384738013234e-05 6.908009083202177464e-04
3.913684875233042031e-03 2.574841899289018535e-02 2.141053954557417451e-04 1.336600891676760928e-03 4.709258136458699395e-05 4.967817161948841730e-04
7.241655481001439687e-03 4.650670089938106766e-02 6.347376568787157190e-04 3.837104448189037568e-03 7.103294438639850313e-05 6.466162384574122672e-04
3.908829414177414537e-03 2.610327199282868119e-02 3.170819416147876426e-04 2.081521973749820165e-03 5.392215680314271857e-05 5.109891109681111068e-04
3.919419087420213804e-03 2.577033748487106077e-02 2.370849210540038542e-04 1.522306316823921011e-03 4.676895218933017418e-05 4.563651546139462921e-04
7.539453859551356954e-03 3.322606123347449092e-02 5.172785229400907831e-04 2.365844482723424361e-03 4.368869917989795775e-05 3.360401941763743760e-04
3.456233103855466289e-03 2.913886023443913037e-02 2.628328258416862758e-04 1.965473246043233230e-03 7.293552027594064858e-05 8.028924834590165640e-04
5.913050126718128602e-03 5.376249504859535733e-02 3.604900203976884069e-04 2.954238203478575658e-03 6.099543944793945114e-05 7.158359910217858540e-04
4.889077627910505194e-03 3.378131272783976846e-02 3.719306635848363568e-04 2.412779643137434246e-03 5.875925118664105800e-05 6.157017898544282471e-04
3.394969549435375086e-03 2.479175638883324498e-02 2.176969637690737678e-04 1.493949850402793815e-03 4.726231983130043014e-05 4.834915620647308680e-04
3.271996921296681411e-03 2.268439559253106197e-02 1.904080895642734346e-04 1.253941251180923453e-03 4.338156271991504780e-05 4.728404351839911443e-04
2.847798912807155726e-03 2.263403213678572001e-02 2.008467629301964705e-04 1.460561561249192715e-03 6.102633273131633705e-05 6.755927999346899183e-04
3.528204711596783730e-03 2.666335188984798876e-02 2.602475677314617947e-04 1.816397381970730847e-03 5.583196506603125403e-05 5.881503608523556579e-04
4.633063218470193957e-03 3.150807764876589756e-02 2.756597717055119770e-04 1.789570456649270357e-03 5.392344700086064104e-05 5.307113653311449014e-04
6.398047076469559440e-03 4.076007725672420312e-02 4.979853101675423086e-04 3.158730875394903485e-03 5.639202124515308904e-05 5.167582475206479410e-04
