# f0	f1	g0	g1
4.408472892388969888e-01 1.318412761733123439e-01 1.193244959729496513e+00 -9.369927677976359198e-03
4.375485078219722435e-01 1.344208336089389999e-01 1.196718707944993909e+00 -1.962275208303747298e-02
4.350650958463084805e-01 1.391639883925661625e-01 1.185580918092903779e+00 -2.934233964033583844e-02
4.272507269507627159e-01 1.299015601500605466e-01 1.194001217539879089e+00 -4.103590786877447244e-02
4.419458574385494165e-01 1.394733432601786560e-01 1.185795244399990400e+00 -1.368755754443393494e-02
4.329747469307617114e-01 1.193482232349924177e-01 1.189741659792816764e+00 -2.142740615059515220e-03
4.428380742162205119e-01 1.411041186100027711e-01 1.189160846637808078e+00 -8.102429903650005920e-04
4.243202277409345302e-01 1.417247178694682752e-01 1.193898692460902966e+00 -2.712770098155526874e-02
4.258389592179142591e-01 1.334221443391282735e-01 1.189972885130474722e+00 -1.874094303411773244e-02
4.157244855036177356e-01 1.400958074432530065e-01 1.188194389620491398e+00 -3.365104660211389043e-02
4.169560217335720465e-01 1.363140080582624369e-01 1.193948760047468527e+00 -2.033510968862205920e-02
4.389817731051751659e-01 1.475700855151118041e-01 1.184900414226447429e+00 -1.645360290453964577e-02
4.332772377084553872e-01 1.391685006597575547e-01 1.184210862046084056e+00 -8.187368796345633956e-03
4.326832982116187165e-01 1.400381298228831894e-01 1.189163840010647899e+00 -3.809353208922593766e-03
4.438917442041194761e-01 1.299484832833881498e-01 1.195601614285916270e+00 8.714921326415528760e-03
4.219400565409758275e-01 1.272002283919328458e-01 1.187831334149093587e+00 -2.267623992797215132e-02
4.210799630438244456e-01 1.367559054816928632e-01 1.193248078299490755e+00 -1.915764878362164955e-02
4.274034993292559759e-01 1.303086902228364485e-01 1.192839889806662779e+00 -9.443194905044631493e-03
4.075664722429632181e-01 1.479886423984824173e-01 1.188992752362428851e+00 -3.787462316795771333e-02
4.219429631218530319e-01 1.408639349833022691e-01 1.190722954687580604e+00 -3.207435801052358620e-02
4.305810251878029460e-01 1.300449921950758703e-01 1.190914285885990465e+00 -1.899533061557028696e-02
4.236856545053095946e-01 1.448203481682611982e-01 1.194768295916904588e+00 -3.050784543622450662e-02
4.396486536866667238e-01 1.328751925216107854e-01 1.187365404191466967e+00 6.098162956726154750e-03
4.247903180488775132e-01 1.308739420792151553e-01 1.179304079091337831e+00 -5.550599582324735465e-02
4.196698762909832348e-01 1.364351996839913150e-01 1.192587194921899352e+00 -5.064386400882985723e-02
4.287037045288663029e-01 1.366681088956845092e-01 1.187932473535503908e+00 -1.219349533269068094e-02
4.330904429837404979e-01 1.435111640993647353e-01 1.185386189092472398e+00 4.678107144608136155e-03
4.090796661501517884e-01 1.523675517782481503e-01 1.182400934443493590e+00 -3.141041777276677022e-02
4.311210754796170885e-01 1.249097689480633544e-01 1.202120368982506626e+00 -1.068509994516637918e-02
4.265055893230886852e-01 1.368068494598242979e-01 1.186089067195925439e+00 -6.125661899882496771e-03
4.225332085257200165e-01 1.294363229463075804e-01 1.197561136740275645e+00 -2.715088177248625029e-02
4.331033322455261625e-01 1.165547273572467568e-01 1.199586836503312881e+00 -7.055368219823239702e-03
4.138629137359093324e-01 1.433975853614153917e-01 1.188525526065854265e+00 -4.838364419299270164e-02
4.305129802647725268e-01 1.417491398256774393e-01 1.192950287979499535e+00 -2.724111476425945463e-02
4.363165469179091094e-01 1.252600206272725392e-01 1.195506370982223121e+00 -9.849143557298926932e-03
4.414432843256774763e-01 1.411847261644774143e-01 1.186613203484387480e+00 -1.725753379241120461e-02
4.360365232142169312e-01 1.346342840937983787e-01 1.196749665715729050e+00 -1.025435140977115980e-02
4.243163394385580101e-01 1.491632263334973785e-01 1.188932987494737414e+00 -2.869243665947366489e-02
4.148792479648419351e-01 1.500808701111630283e-01 1.190662917564790702e+00 -3.203401239113894128e-02
